Date and Time,Rainfall units,Cumulative Rainfall  (cm) ,Rainfall (cm)
1/28/21 22:12,452,9.04,0.02
1/28/21 22:13,453,9.06,0.02
1/28/21 22:14,454,9.08,0.02
1/28/21 22:16,455,9.1,0.02
1/28/21 22:18,456,9.12,0.02
1/28/21 22:19,457,9.14,0.02
1/28/21 22:21,458,9.16,0.02
1/28/21 22:23,459,9.18,0.02
1/28/21 22:25,460,9.2,0.02
1/28/21 22:28,461,9.22,0.02
1/28/21 22:29,462,9.24,0.02
1/28/21 22:32,463,9.26,0.02
1/28/21 22:33,464,9.28,0.02
1/28/21 22:35,465,9.3,0.02
1/28/21 22:36,466,9.32,0.02
1/28/21 22:39,467,9.34,0.02
1/28/21 22:41,468,9.36,0.02
1/28/21 22:43,469,9.38,0.02
1/28/21 22:45,470,9.4,0.02
1/28/21 22:48,471,9.42,0.02
1/28/21 22:50,472,9.44,0.02
1/28/21 22:51,473,9.46,0.02
1/28/21 22:53,474,9.48,0.02
1/28/21 22:55,475,9.5,0.02
1/28/21 22:58,476,9.52,0.02
1/28/21 22:59,477,9.54,0.02
1/28/21 23:01,478,9.56,0.02
1/28/21 23:03,479,9.58,0.02
1/28/21 23:05,480,9.6,0.02
1/28/21 23:07,481,9.62,0.02
1/28/21 23:09,482,9.64,0.02
1/28/21 23:11,483,9.66,0.02
1/28/21 23:12,484,9.68,0.02
1/28/21 23:15,485,9.7,0.02
1/28/21 23:17,486,9.72,0.02
1/28/21 23:20,487,9.74,0.02
1/28/21 23:21,488,9.76,0.02
1/28/21 23:24,489,9.78,0.02
1/28/21 23:26,490,9.8,0.02
1/28/21 23:27,491,9.82,0.02
1/28/21 23:30,492,9.84,0.02
1/28/21 23:32,493,9.86,0.02
1/28/21 23:34,494,9.88,0.02
1/28/21 23:37,495,9.9,0.02
1/28/21 23:39,496,9.92,0.02
1/28/21 23:42,497,9.94,0.02
1/28/21 23:45,498,9.96,0.02
1/28/21 23:48,499,9.98,0.02
1/28/21 23:50,500,10,0.02
1/28/21 23:53,501,10.02,0.02
1/28/21 23:55,502,10.04,0.02
1/28/21 23:57,503,10.06,0.02
1/28/21 23:59,504,10.08,0.02
1/29/21 0:01,505,10.1,0.02
1/29/21 0:02,506,10.12,0.02
1/29/21 0:05,507,10.14,0.02
1/29/21 0:06,508,10.16,0.02
1/29/21 0:07,509,10.18,0.02
1/29/21 0:09,510,10.2,0.02
1/29/21 0:11,511,10.22,0.02
1/29/21 0:14,512,10.24,0.02
1/29/21 0:15,513,10.26,0.02
1/29/21 0:17,514,10.28,0.02
1/29/21 0:18,515,10.3,0.02
1/29/21 0:20,516,10.32,0.02
1/29/21 0:22,517,10.34,0.02
1/29/21 0:23,518,10.36,0.02
1/29/21 0:25,519,10.38,0.02
1/29/21 0:27,520,10.4,0.02
1/29/21 0:29,521,10.42,0.02
1/29/21 0:30,522,10.44,0.02
1/29/21 0:31,523,10.46,0.02
1/29/21 0:33,524,10.48,0.02
1/29/21 0:34,525,10.5,0.02
1/29/21 0:35,526,10.52,0.02
1/29/21 0:36,527,10.54,0.02
1/29/21 0:38,528,10.56,0.02
1/29/21 0:39,529,10.58,0.02
1/29/21 0:41,530,10.6,0.02
1/29/21 0:42,531,10.62,0.02
1/29/21 0:44,532,10.64,0.02
1/29/21 0:46,533,10.66,0.02
1/29/21 0:47,534,10.68,0.02
1/29/21 0:49,535,10.7,0.02
1/29/21 0:50,536,10.72,0.02
1/29/21 0:51,537,10.74,0.02
1/29/21 0:52,538,10.76,0.02
1/29/21 0:53,539,10.78,0.02
1/29/21 0:55,540,10.8,0.02
1/29/21 0:57,541,10.82,0.02
1/29/21 1:00,542,10.84,0.02
1/29/21 1:04,543,10.86,0.02
1/29/21 1:06,544,10.88,0.02
1/29/21 1:09,545,10.9,0.02
1/29/21 1:12,546,10.92,0.02
1/29/21 1:15,547,10.94,0.02
1/29/21 1:17,548,10.96,0.02
1/29/21 1:24,549,10.98,0.02
1/29/21 1:31,550,11,0.02
1/29/21 1:37,551,11.02,0.02
1/29/21 1:41,552,11.04,0.02
1/29/21 1:45,553,11.06,0.02
1/29/21 1:48,554,11.08,0.02
1/29/21 1:51,555,11.1,0.02
1/29/21 1:53,556,11.12,0.02
1/29/21 1:55,557,11.14,0.02
1/29/21 1:57,558,11.16,0.02
1/29/21 2:00,559,11.18,0.02
1/29/21 2:04,560,11.2,0.02
1/29/21 2:06,561,11.22,0.02
1/29/21 2:08,562,11.24,0.02
1/29/21 2:10,563,11.26,0.02
1/29/21 2:12,564,11.28,0.02
1/29/21 2:16,565,11.3,0.02
1/29/21 2:18,566,11.32,0.02
1/29/21 2:22,567,11.34,0.02
1/29/21 2:26,568,11.36,0.02
1/29/21 2:29,569,11.38,0.02
1/29/21 2:32,570,11.4,0.02
1/29/21 2:36,571,11.42,0.02
1/29/21 2:42,572,11.44,0.02
1/29/21 2:53,573,11.46,0.02
1/29/21 2:59,574,11.48,0.02
1/29/21 3:02,575,11.5,0.02
1/29/21 3:03,576,11.52,0.02
1/29/21 3:04,577,11.54,0.02
1/29/21 3:07,578,11.56,0.02
1/29/21 3:10,579,11.58,0.02
1/29/21 3:18,580,11.6,0.02
1/29/21 3:20,581,11.62,0.02
1/29/21 3:23,582,11.64,0.02
1/29/21 3:28,583,11.66,0.02
1/29/21 3:34,584,11.68,0.02
1/29/21 3:39,585,11.7,0.02
1/29/21 3:47,586,11.72,0.02
1/29/21 3:55,587,11.74,0.02
1/29/21 4:20,588,11.76,0.02
1/29/21 4:26,589,11.78,0.02
1/29/21 4:31,590,11.8,0.02
1/29/21 4:35,591,11.82,0.02
1/29/21 4:39,592,11.84,0.02
1/29/21 5:01,593,11.86,0.02
1/29/21 5:20,594,11.88,0.02
1/29/21 5:22,595,11.9,0.02
1/29/21 5:27,596,11.92,0.02
1/29/21 5:28,597,11.94,0.02
1/29/21 5:34,598,11.96,0.02
1/29/21 5:36,599,11.98,0.02
1/29/21 5:41,600,12,0.02
1/29/21 5:42,601,12.02,0.02
1/29/21 5:44,602,12.04,0.02
1/29/21 5:45,603,12.06,0.02
1/29/21 5:46,604,12.08,0.02
1/29/21 5:46,605,12.1,0.02
1/29/21 5:48,606,12.12,0.02
1/29/21 5:52,607,12.14,0.02
1/29/21 5:55,608,12.16,0.02
1/29/21 5:56,609,12.18,0.02
1/29/21 5:57,610,12.2,0.02
1/29/21 5:58,611,12.22,0.02
1/29/21 6:00,612,12.24,0.02
1/29/21 6:49,613,12.26,0.02
1/29/21 7:02,614,12.28,0.02
1/29/21 7:19,615,12.3,0.02
1/29/21 7:20,616,12.32,0.02
1/29/21 7:20,617,12.34,0.02
1/29/21 7:21,618,12.36,0.02
1/29/21 7:22,619,12.38,0.02
1/29/21 7:23,620,12.4,0.02
1/29/21 7:30,621,12.42,0.02
1/29/21 7:38,622,12.44,0.02
1/29/21 7:40,623,12.46,0.02
1/29/21 7:41,624,12.48,0.02
1/29/21 7:44,625,12.5,0.02
1/29/21 8:05,626,12.52,0.02
1/29/21 8:35,627,12.54,0.02
1/29/21 8:45,628,12.56,0.02
1/29/21 8:48,629,12.58,0.02
1/29/21 8:53,630,12.6,0.02
1/29/21 8:57,631,12.62,0.02
1/29/21 9:03,632,12.64,0.02
1/29/21 9:07,633,12.66,0.02
1/29/21 9:12,634,12.68,0.02
1/29/21 9:21,635,12.7,0.02
1/29/21 9:28,636,12.72,0.02
1/29/21 9:33,637,12.74,0.02
1/29/21 9:39,638,12.76,0.02
1/29/21 9:45,639,12.78,0.02
1/29/21 11:11,640,12.8,0.02
1/29/21 11:22,641,12.82,0.02
1/29/21 11:48,642,12.84,0.02
1/29/21 12:01,643,12.86,0.02
1/29/21 12:11,644,12.88,0.02
1/29/21 12:24,645,12.9,0.02
1/29/21 12:29,646,12.92,0.02
1/29/21 13:18,647,12.94,0.02
1/29/21 13:34,648,12.96,0.02
1/29/21 13:42,649,12.98,0.02
1/29/21 14:11,650,13,0.02
1/29/21 14:17,651,13.02,0.02
1/29/21 14:27,652,13.04,0.02
2/12/21 6:49,653,13.06,0.02
2/12/21 8:01,654,13.08,0.02
3/8/21 1:41,655,13.1,0.02
3/10/21 2:37,656,13.12,0.02
3/10/21 2:45,657,13.14,0.02
3/10/21 2:51,658,13.16,0.02
3/10/21 2:53,659,13.18,0.02
3/10/21 2:55,660,13.2,0.02
3/10/21 2:59,661,13.22,0.02
3/10/21 3:01,662,13.24,0.02
